user_input,Approved symbol,Approved name,Previous symbols,Alias symbols,matching_status
A1BG,A1BG,alpha-1-B glycoprotein,,,matched
A1CF,A1CF,APOBEC1 complementation factor,,"ACF, ASP, ACF64, ACF65, APOBEC1CF",matched
A2M,A2M,alpha-2-macroglobulin,,"FWP007, S863-7, CPAMD5",matched
A2ML1,A2ML1,alpha-2-macroglobulin like 1,CPAMD9,"FLJ25179, p170",matched
A3GALT2,A3GALT2,"alpha 1,3-galactosyltransferase 2",A3GALT2P,"IGBS3S, IGB3S",matched
A4GALT,A4GALT,"alpha 1,4-galactosyltransferase (P1PK blood group)",P1,"A14GALT, Gb3S, P(k)",matched
A4GNT,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",,alpha4GnT,matched
AAAS,AAAS,aladin WD repeat nucleoporin,,,matched
AACS,AACS,acetoacetyl-CoA synthetase,,"FLJ12389, SUR-5, ACSF1",matched
AADAC,AADAC,arylacetamide deacetylase,,"DAC, CES5A1",matched
AADACL2,AADACL2,arylacetamide deacetylase like 2,,MGC72001,matched
AADACL3,AADACL3,arylacetamide deacetylase like 3,,OTTHUMG00000001887,matched
AADACL4,AADACL4,arylacetamide deacetylase like 4,,OTTHUMG00000001889,matched
AADAT,AADAT,aminoadipate aminotransferase,,"KATII, KAT2, KYAT2",matched
AAGAB,AAGAB,alpha and gamma adaptin binding protein,,"FLJ11506, p34",matched
AAK1,AAK1,AP2 associated kinase 1,,"KIAA1048, DKFZp686K16132",matched
AAMDC,AAMDC,adipogenesis associated Mth938 domain containing,C11orf67,"PTD015, FLJ21035, CK067",matched
AAMP,AAMP,angio associated migratory cell protein,,,matched
AANAT,AANAT,aralkylamine N-acetyltransferase,,SNAT,matched
AAR2,AAR2,AAR2 splicing factor,C20orf4,bA234K24.2,matched
AARD,AARD,alanine and arginine rich domain containing protein,C8orf85,LOC441376,matched
AARS1,AARS1,alanyl-tRNA synthetase 1,AARS,"CMT2N, AlaRS",matched
AARS2,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",AARSL,"KIAA1270, bA444E17.1",matched
AARSD1,AARSD1,alanyl-tRNA synthetase domain containing 1,,"MGC2744, AlaXp",matched
AASDH,AASDH,aminoadipate-semialdehyde dehydrogenase,,"NRPS998, LYS2, ACSF4",matched
AASDHPPT,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,,"LYS5, CGI-80, AASD-PPT, ACPS",matched
AASS,AASS,aminoadipate-semialdehyde synthase,,"LORSDH, LKRSDH, LKR/SDH",matched
AATF,AATF,apoptosis antagonizing transcription factor,,"DED, CHE-1, CHE1, BFR2",matched
AATK,AATK,apoptosis associated tyrosine kinase,,"AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77",matched
ABAT,ABAT,4-aminobutyrate aminotransferase,,"GABAT, GABA-T",matched
ABCA1,ABCA1,ATP binding cassette subfamily A member 1,"ABC1, HDLDT1",TGD,matched
ABCA2,ABCA2,ATP binding cassette subfamily A member 2,ABC2,,matched
ABCA3,ABCA3,ATP binding cassette subfamily A member 3,ABC3,"ABC-C, EST111653, LBM180",matched
ABCA4,ABCA4,ATP binding cassette subfamily A member 4,"STGD1, ABCR, RP19, STGD","FFM, ARMD2, CORD3",matched
ABCA5,ABCA5,ATP binding cassette subfamily A member 5,,EST90625,matched
ABCA6,ABCA6,ATP binding cassette subfamily A member 6,,EST155051,matched
ABCA7,ABCA7,ATP binding cassette subfamily A member 7,,ABCX,matched
ABCA8,ABCA8,ATP binding cassette subfamily A member 8,,KIAA0822,matched
ABCA9,ABCA9,ATP binding cassette subfamily A member 9,,EST640918,matched
ABCA10,ABCA10,ATP binding cassette subfamily A member 10,,EST698739,matched
ABCA12,ABCA12,ATP binding cassette subfamily A member 12,ICR2B,"DKFZP434G232, LI2",matched
ABCA13,ABCA13,ATP binding cassette subfamily A member 13,,"FLJ33876, FLJ33951",matched
ABCB1,ABCB1,ATP binding cassette subfamily B member 1,"PGY1, MDR1, CLCS","P-gp, CD243, GP170, ABC20, p-170, PGY1",matched
